Variable,Mean,Knot1,Knot2,Knot3,Knot4,Knot5
AgeC_rcs1,47.98,-27.0556277,-13.0556277,-1.055627698,11.9443723,29.9443723
PackYearsC_rcs1,8.17,-8.168189355,-8.161189355,20.33181065,,
PhysicalActivityC_rcs1,1.87,-1.767511319,-0.167511319,2.632488681,,
FruitVegC_rcs1,3.97,-2.468725652,-0.468725652,3.031274348,,
BMIC_rcs1,25.71,-5.68421137,-0.949302364,6.940697636,,
