,beta1,beta2,beta3,beta4,beta5
EduSomePS2C_cat,0.04673716,0.042087863,0.019335088,0.013840829,0.012606151
EduHSGrad2C_cat,0.077594122,0.076884111,0.054012456,0.065726897,0.071472436
EduLSHSC_cat,0.20123081,0.176468373,0.110168079,0.116105843,0.081455824
MSDivorcedWidowedC_cat,0.138064463,0.129757865,0.087458911,0.080832987,0.078117372
MSSingleC_cat,0.087808812,0.064678754,0.005632637,-0.026713053,-0.026651473
DepIndModC_cat,0.087132096,0.080102813,0.053801073,0.040829682,0.028991415
DepIndHighC_cat,0.193764844,0.182827294,0.135751197,0.114400218,0.099387802
