Percent,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61
77,10,17,23,26,29,37,46,54,60,70,87,106,114,136,147,157,182,206,235,256,277,301,324,355,390,407,432,458,485,503,536,556,587,612,632,668,694,716,741,777,786,843,859,886,927,975,1003,1037,1075,1115,1144,1152,1223,1294,1311,1329,1415,1446,1466,1585,1815
76,10,17,24,27,30,39,48,58,64,75,93,112,122,144,156,165,193,220,249,271,294,319,341,373,411,429,453,481,507,527,561,581,614,637,659,696,724,746,770,809,821,876,890,923,962,1012,1039,1074,1113,1155,1182,1193,1266,1329,1355,1370,1457,1483,1509,1628,1874
75,11,18,25,28,32,42,51,61,68,80,99,118,130,154,165,175,204,232,266,285,311,336,358,393,431,451,474,504,529,550,586,606,641,663,688,724,755,775,804,841,854,910,920,957,997,1047,1074,1109,1151,1192,1219,1234,1305,1361,1393,1414,1502,1524,1561,1674,1925
74,11,19,26,30,33,44,53,64,72,84,104,125,138,164,175,186,216,245,280,301,326,354,378,413,452,474,496,527,553,575,612,632,668,695,718,755,782,804,834,871,888,942,953,990,1032,1083,1109,1144,1188,1230,1257,1274,1345,1397,1430,1456,1541,1564,1599,1722,1970
73,12,20,27,31,35,46,56,67,78,89,110,132,146,173,185,196,227,258,295,316,343,370,396,434,472,494,517,551,576,598,639,659,696,722,747,782,812,833,867,903,921,975,986,1022,1064,1116,1141,1176,1224,1264,1291,1312,1385,1432,1470,1501,1582,1612,1639,1760,2016
72,12,21,28,33,36,48,59,72,82,94,117,141,155,181,195,207,240,273,311,331,360,389,415,453,492,516,540,575,602,622,665,684,724,751,774,811,841,860,896,934,950,1003,1018,1056,1095,1152,1175,1209,1260,1303,1329,1353,1427,1471,1511,1543,1619,1656,1687,1807,2066
71,12,22,30,34,38,50,63,76,87,101,124,148,163,192,206,218,253,287,326,347,378,406,433,472,513,539,563,597,626,645,691,713,753,779,800,841,871,891,926,964,980,1032,1054,1087,1130,1185,1209,1242,1300,1340,1365,1394,1464,1507,1552,1579,1658,1695,1728,1851,2119
70,13,23,32,36,39,52,66,81,92,107,132,155,172,202,217,231,266,300,340,364,396,424,453,494,535,562,587,621,651,669,716,739,778,806,828,869,899,919,954,996,1009,1061,1088,1119,1162,1219,1241,1276,1336,1374,1404,1435,1500,1540,1591,1616,1693,1737,1772,1890,2166
69,14,24,33,37,40,55,69,85,97,113,139,164,183,213,228,244,279,317,354,381,413,443,473,515,558,586,610,644,673,695,742,765,805,836,856,897,929,949,983,1025,1040,1093,1120,1147,1193,1252,1273,1308,1369,1407,1440,1465,1536,1576,1624,1654,1728,1785,1809,1929,2218
68,14,24,34,38,42,57,73,89,102,118,147,172,192,223,241,258,293,335,369,400,432,463,493,537,580,609,637,667,699,722,766,791,835,861,884,926,959,975,1012,1058,1071,1122,1152,1180,1223,1286,1303,1340,1403,1444,1477,1505,1567,1613,1662,1695,1769,1817,1855,1965,2269
