,beta1,beta2,beta3,beta4,beta5
EduSomePS2C_cat,0.044995786,0.050215856,0.019427364,0.01684688,0.008720827
EduHSGrad2C_cat,0.095101528,0.09236542,0.06381453,0.072874889,0.077175309
EduLSHSC_cat,0.216289378,0.197166303,0.125284714,0.142827681,0.126833831
MSDivorcedWidowedC_cat,0.10250484,0.104130063,0.070115193,0.060058587,0.080011992
MSSingleC_cat,0.143757142,0.137869882,0.104020093,0.075977952,0.100633147
DepIndModC_cat,0.02156976,0.016021922,-0.009222897,-0.000829073,-0.001236227
DepIndHighC_cat,0.115457168,0.099332669,0.047686074,0.05383948,0.042291407
